workerid,age,gender,race,region,regionComments,verification_1,verification_2,stimulus1,stimulus2,speaker,sentence,intonation,context_condition,answer,certainty,comment
A1K55Z90VSYU9W,age=1,gend=2,eth=2,Bronx NY,,Good luck with the test.,id,alex-test-hlevel,alex-test-lfall,alex,test,lfall,HLEVEL,response=hlevel,response=4,
A1F9KLZGHE9DTA,age=3,gend=2,eth=3,Connecticut,No.  Thanks for the HIT!  I did my best and hope the data is useful!,remember to feed the cats,id,bonnie-cats-hlevel,bonnie-cats-lfall,bonnie,cats,lfall,LFALL,response=hlevel,response=5,
A1F9KLZGHE9DTA,age=3,gend=2,eth=3,Connecticut,No.  Thanks for the HIT!  I did my best and hope the data is useful!,get well soon,id,kate-well-hlevel,kate-well-lfall,kate,well,lfall,HLEVEL,response=hlevel,response=5,
A1F9KLZGHE9DTA,age=3,gend=2,eth=3,Connecticut,No.  Thanks for the HIT!  I did my best and hope the data is useful!,ahgh...please don't have broken another glass,hhhaa....ok; go out and play,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A1F9KLZGHE9DTA,age=3,gend=2,eth=3,Connecticut,No.  Thanks for the HIT!  I did my best and hope the data is useful!,take a cookie,id,kate-cookie-hlevel,kate-cookie-hfall,kate,cookie,hfall,HFALL,response=lfall,response=4,
A1F9KLZGHE9DTA,age=3,gend=2,eth=3,Connecticut,No.  Thanks for the HIT!  I did my best and hope the data is useful!,Yes I am leaving for Cancun in a week.,Do you have questions about your test results?,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
A1F9KLZGHE9DTA,age=3,gend=2,eth=3,Connecticut,No.  Thanks for the HIT!  I did my best and hope the data is useful!,Have a nice trip,id,kevin-trip-hlevel,kevin-trip-hfall,kevin,trip,hfall,HLEVEL,response=hlevel,response=5,
A1F9KLZGHE9DTA,age=3,gend=2,eth=3,Connecticut,No.  Thanks for the HIT!  I did my best and hope the data is useful!,have fun at the party,id,alex-party-hlevel,alex-party-hfall,alex,party,hfall,HFALL,response=hlevel,response=4,
A1F9KLZGHE9DTA,age=3,gend=2,eth=3,Connecticut,No.  Thanks for the HIT!  I did my best and hope the data is useful!,don't forget your lunch box,id,alex-lunchbox-hlevel,alex-lunchbox-hfall,alex,lunchbox,hfall,HLEVEL,response=hlevel,response=5,
A2A8N5CUKSZA0S,age=2,gend=2,eth=1,pennsylvania,,Have fun at the party. ,Have fun at the party. ,kate-party-hlevel,kate-party-lfall,kate,party,lfall,HLEVEL,response=hlevel,response=5,
A2A8N5CUKSZA0S,age=2,gend=2,eth=1,pennsylvania,,Take these pills for a week. ,Take these pills for a week. ,alex-pills-hlevel,alex-pills-lfall,alex,pills,lfall,LFALL,response=lfall,response=5,
A2A8N5CUKSZA0S,age=2,gend=2,eth=1,pennsylvania,,Get well soon.,Get well soon.,alex-well-hlevel,alex-well-lfall,alex,well,lfall,LFALL,response=hlevel,response=5,
A2A8N5CUKSZA0S,age=2,gend=2,eth=1,pennsylvania,,Don't forget you lunch box.,Don't forget you lunch box.,kate-lunchbox-hlevel,kate-lunchbox-hfall,kate,lunchbox,hfall,LFALL,response=hlevel,response=5,
A2A8N5CUKSZA0S,age=2,gend=2,eth=1,pennsylvania,,Do you have questions about you test results. ,Yes I'm leaving for Cancun in a week.  ,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
A2A8N5CUKSZA0S,age=2,gend=2,eth=1,pennsylvania,,Enjoy your dinner.,Enjoy your dinner.,bonnie-dinner-hlevel,bonnie-dinner-lfall,bonnie,dinner,lfall,HLEVEL,response=hlevel,response=5,
A2A8N5CUKSZA0S,age=2,gend=2,eth=1,pennsylvania,,Ok go out and play.,Please don't have broken another glass.,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A2A8N5CUKSZA0S,age=2,gend=2,eth=1,pennsylvania,,Remember to feed the cats.,Remember to feed the cats.,alex-cats-hlevel,alex-cats-lfall,alex,cats,lfall,HLEVEL,response=hlevel,response=5,
AFQKLIYNCVZTL,age=2,gend=2,eth=3,Midwest,,remember to feed the cats,id,alex-cats-hlevel,alex-cats-lfall,alex,cats,lfall,LFALL,response=hlevel,response=3,
AFQKLIYNCVZTL,age=2,gend=2,eth=3,Midwest,,yes I am leaving for cancun in a week,you have questions about your test results,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
AFQKLIYNCVZTL,age=2,gend=2,eth=3,Midwest,,enjoy the movie,enjoy the movie,kate-movie-hlevel,kate-movie-lfall,kate,movie,lfall,HLEVEL,response=hlevel,response=5,
AFQKLIYNCVZTL,age=2,gend=2,eth=3,Midwest,,Don't forget your lunch box,id,kate-lunchbox-hlevel,kate-lunchbox-hfall,kate,lunchbox,hfall,HLEVEL,response=hlevel,response=5,
AFQKLIYNCVZTL,age=2,gend=2,eth=3,Midwest,,avoid the highway,id,kevin-highway-hlevel,kevin-highway-lfall,kevin,highway,lfall,LFALL,response=lfall,response=3,
AFQKLIYNCVZTL,age=2,gend=2,eth=3,Midwest,,Please don't have broken another glass,OK go out and play,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=4,
AFQKLIYNCVZTL,age=2,gend=2,eth=3,Midwest,,Have fun at the party,ig,kate-party-hlevel,kate-party-lfall,kate,party,lfall,HFALL,response=lfall,response=5,
AFQKLIYNCVZTL,age=2,gend=2,eth=3,Midwest,,The sound file did not show up,Get well soon,alex-well-hlevel,alex-well-lfall,alex,well,lfall,HLEVEL,response=lfall,response=4,The first sound file did not show up--there is just a blank space
A280RC0S51YKFT,age=3,gend=1,eth=3,Florida,none - thank you!,Hand in the assignment by noon!,id,judy-assignment-hlevel,judy-assignment-lfall,judy,assignment,lfall,LFALL,response=lfall,response=4,
A280RC0S51YKFT,age=3,gend=1,eth=3,Florida,none - thank you!,Please tell me you haven't broken another glass,Ok go out and play,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A280RC0S51YKFT,age=3,gend=1,eth=3,Florida,none - thank you!,Have fun at the party,Have fun at the party,alex-party-hlevel,alex-party-hfall,alex,party,hfall,HLEVEL,response=hlevel,response=3,
A280RC0S51YKFT,age=3,gend=1,eth=3,Florida,none - thank you!,Do you have questions about your test results?,Yes I'm leaving for Cancun in a week!,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
A280RC0S51YKFT,age=3,gend=1,eth=3,Florida,none - thank you!,Get well soon!,id,kate-well-hlevel,kate-well-lfall,kate,well,lfall,LFALL,response=hlevel,response=5,
A280RC0S51YKFT,age=3,gend=1,eth=3,Florida,none - thank you!,Good luck with the test,id,alex-test-hlevel,alex-test-lfall,alex,test,lfall,HLEVEL,response=hlevel,response=4,
A280RC0S51YKFT,age=3,gend=1,eth=3,Florida,none - thank you!,Remember to feed the cats!,id,bonnie-cats-hlevel,bonnie-cats-lfall,bonnie,cats,lfall,HLEVEL,response=hlevel,response=4,
A280RC0S51YKFT,age=3,gend=1,eth=3,Florida,none - thank you!,Don't forget your lunch box,id,alex-lunchbox-hlevel,alex-lunchbox-hfall,alex,lunchbox,hfall,LFALL,response=hlevel,response=4,
A1YBZWXXW358IF,age=5,gend=2,eth=3,Northeast ,,Consult the hymn book,Have fun at the party,alex-party-hlevel,alex-party-hfall,alex,party,hfall,HLEVEL,response=hlevel,response=4,
A1YBZWXXW358IF,age=5,gend=2,eth=3,Northeast ,,Yes I am leaving for cancun in a week,Do you have questions about your test results ,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
A1YBZWXXW358IF,age=5,gend=2,eth=3,Northeast ,,Don't forget your lunchbox ,id ,alex-lunchbox-hlevel,alex-lunchbox-hfall,alex,lunchbox,hfall,LFALL,response=hlevel,response=5,
A1YBZWXXW358IF,age=5,gend=2,eth=3,Northeast ,,Get wellsoon ,id ,kate-well-hlevel,kate-well-lfall,kate,well,lfall,LFALL,response=hlevel,response=5,
A1YBZWXXW358IF,age=5,gend=2,eth=3,Northeast ,,Good luck with the test ,id,alex-test-hlevel,alex-test-lfall,alex,test,lfall,HLEVEL,response=hlevel,response=5,
A1YBZWXXW358IF,age=5,gend=2,eth=3,Northeast ,,Ok go out and play,Oh please don't have broken another glass,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A1YBZWXXW358IF,age=5,gend=2,eth=3,Northeast ,,Remember to feed the cats,id,bonnie-cats-hlevel,bonnie-cats-lfall,bonnie,cats,lfall,HLEVEL,response=hlevel,response=5,
A1YBZWXXW358IF,age=5,gend=2,eth=3,Northeast ,,Hand in the assignment by noon ,id ,judy-assignment-hlevel,judy-assignment-lfall,judy,assignment,lfall,LFALL,response=lfall,response=4,
ADKYBMRKXK815,age=1,gend=1,eth=3,Indiana (Midwest),No,Get well soon.,id,alex-well-hlevel,alex-well-lfall,alex,well,lfall,LFALL,response=hlevel,response=5,Second one was most inflection.
ADKYBMRKXK815,age=1,gend=1,eth=3,Indiana (Midwest),No,Take these pills for a week.,id,alex-pills-hlevel,alex-pills-lfall,alex,pills,lfall,LFALL,response=lfall,response=5,Second one sounded more like an instruction.
ADKYBMRKXK815,age=1,gend=1,eth=3,Indiana (Midwest),No,Have fun at the party.,id,kate-party-hlevel,kate-party-lfall,kate,party,lfall,HLEVEL,response=hlevel,response=5,Second option sounded more natural.
ADKYBMRKXK815,age=1,gend=1,eth=3,Indiana (Midwest),No,Don't forget your lunchbox.,id,kate-lunchbox-hlevel,kate-lunchbox-hfall,kate,lunchbox,hfall,LFALL,response=hlevel,response=5,Second one sounded better.
ADKYBMRKXK815,age=1,gend=1,eth=3,Indiana (Midwest),No,Remember to feed the cats.,id,alex-cats-hlevel,alex-cats-lfall,alex,cats,lfall,HLEVEL,response=hlevel,response=4,Second sounded better again.
ADKYBMRKXK815,age=1,gend=1,eth=3,Indiana (Midwest),No,Enjoy your dinner.,id,bonnie-dinner-hlevel,bonnie-dinner-lfall,bonnie,dinner,lfall,HLEVEL,response=hlevel,response=4,Second sounded more friendly.
ADKYBMRKXK815,age=1,gend=1,eth=3,Indiana (Midwest),No,Yes I leave for Cancun in a week.,Do you have questions about your test results?,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,The first one was obviously the applicable answer.
ADKYBMRKXK815,age=1,gend=1,eth=3,Indiana (Midwest),No,(sigh) Okay go out and play.,Please don't have broke another glass.,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=1,The first one answered the request.
A3BJNFU4T7RU11,age=2,gend=2,eth=3,US,none,Don't forget your lunchbox.,id,alex-lunchbox-hlevel,alex-lunchbox-hfall,alex,lunchbox,hfall,HLEVEL,response=hlevel,response=5,
A3BJNFU4T7RU11,age=2,gend=2,eth=3,US,none,Have fun at the party,id,alex-party-hlevel,alex-party-hfall,alex,party,hfall,HFALL,response=lfall,response=5,
A3BJNFU4T7RU11,age=2,gend=2,eth=3,US,none,Remember to feed the cats,id,bonnie-cats-hlevel,bonnie-cats-lfall,bonnie,cats,lfall,LFALL,response=hlevel,response=4,
A3BJNFU4T7RU11,age=2,gend=2,eth=3,US,none,Get well soon,id,kate-well-hlevel,kate-well-lfall,kate,well,lfall,HLEVEL,response=lfall,response=5,
A3BJNFU4T7RU11,age=2,gend=2,eth=3,US,none,Take a cookie,id,kate-cookie-hlevel,kate-cookie-hfall,kate,cookie,hfall,HFALL,response=lfall,response=5,
A3BJNFU4T7RU11,age=2,gend=2,eth=3,US,none,Have a nice trip,id,kevin-trip-hlevel,kevin-trip-hfall,kevin,trip,hfall,HLEVEL,response=hlevel,response=5,
A3BJNFU4T7RU11,age=2,gend=2,eth=3,US,none,Yes I leave for Cancun in a week.,Do you have questions about your test results?,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
A3BJNFU4T7RU11,age=2,gend=2,eth=3,US,none,Okay go out and play,Please don't have broken another glass,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A2C9IMNZD8THIB,age=2,gend=2,eth=3,Missouri,none,get well soon,id,alex-well-hlevel,alex-well-lfall,alex,well,lfall,HLEVEL,response=lfall,response=5,
A2C9IMNZD8THIB,age=2,gend=2,eth=3,Missouri,none,remember to feed the cats,id,alex-cats-hlevel,alex-cats-lfall,alex,cats,lfall,LFALL,response=lfall,response=5,
A2C9IMNZD8THIB,age=2,gend=2,eth=3,Missouri,none,yes i am leaving for Cancun in a week ,do you have questions about your test results?,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
A2C9IMNZD8THIB,age=2,gend=2,eth=3,Missouri,none,enjoy the movie!,id,kate-movie-hlevel,kate-movie-lfall,kate,movie,lfall,HLEVEL,response=hlevel,response=5,
A2C9IMNZD8THIB,age=2,gend=2,eth=3,Missouri,none,have fun at the party,id,kate-party-hlevel,kate-party-lfall,kate,party,lfall,HFALL,response=hlevel,response=5,
A2C9IMNZD8THIB,age=2,gend=2,eth=3,Missouri,none,avoid the highway,id,kevin-highway-hlevel,kevin-highway-lfall,kevin,highway,lfall,LFALL,response=lfall,response=5,
A2C9IMNZD8THIB,age=2,gend=2,eth=3,Missouri,none,dont forget your lunch box,id,kate-lunchbox-hlevel,kate-lunchbox-hfall,kate,lunchbox,hfall,HLEVEL,response=hlevel,response=5,
A2C9IMNZD8THIB,age=2,gend=2,eth=3,Missouri,none,ok go out and play,ah please don't have broken another glass,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A1V1EIKLJ01XCC,age=2,gend=1,eth=1,Virginia,no,Do you have questions about your test results,Yes I am leaving for Cancun in a week.,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
A1V1EIKLJ01XCC,age=2,gend=1,eth=1,Virginia,no,Avoid the highway.,Avoid the highway.,kevin-highway-hlevel,kevin-highway-lfall,kevin,highway,lfall,LFALL,response=lfall,response=3,
A1V1EIKLJ01XCC,age=2,gend=1,eth=1,Virginia,no,Have fun at the party.,Have fun at the party.,kate-party-hlevel,kate-party-lfall,kate,party,lfall,HFALL,response=hlevel,response=3,
A1V1EIKLJ01XCC,age=2,gend=1,eth=1,Virginia,no,Enjoy the movie.,Enjoy the movie.,kate-movie-hlevel,kate-movie-lfall,kate,movie,lfall,HLEVEL,response=hlevel,response=4,
A1V1EIKLJ01XCC,age=2,gend=1,eth=1,Virginia,no,Don't forget your lunchbox.,Don't forget your lunchbox.,kate-lunchbox-hlevel,kate-lunchbox-hfall,kate,lunchbox,hfall,HLEVEL,response=hlevel,response=5,
A1V1EIKLJ01XCC,age=2,gend=1,eth=1,Virginia,no,Ah...please don't have broken another glass.,Ah...go out and play.,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A1V1EIKLJ01XCC,age=2,gend=1,eth=1,Virginia,no,Get well soon.,Get well soon.,alex-well-hlevel,alex-well-lfall,alex,well,lfall,HLEVEL,response=hlevel,response=2,
A1V1EIKLJ01XCC,age=2,gend=1,eth=1,Virginia,no,Remember to feed the cats.,Remember to feed the cats.,alex-cats-hlevel,alex-cats-lfall,alex,cats,lfall,LFALL,response=hlevel,response=2,
A1UCX2JQRCSMFY,age=3,gend=2,eth=3,Connecticut,None,Have fun at the party,id,kate-party-hlevel,kate-party-lfall,kate,party,lfall,HFALL,response=lfall,response=2,
A1UCX2JQRCSMFY,age=3,gend=2,eth=3,Connecticut,None,Enjoy the movie,id,kate-movie-hlevel,kate-movie-lfall,kate,movie,lfall,HLEVEL,response=lfall,response=3,
A1UCX2JQRCSMFY,age=3,gend=2,eth=3,Connecticut,None,Get well soon,id,alex-well-hlevel,alex-well-lfall,alex,well,lfall,HLEVEL,response=hlevel,response=4,
A1UCX2JQRCSMFY,age=3,gend=2,eth=3,Connecticut,None,Avoid the highway,id,kevin-highway-hlevel,kevin-highway-lfall,kevin,highway,lfall,LFALL,response=lfall,response=4,
A1UCX2JQRCSMFY,age=3,gend=2,eth=3,Connecticut,None,Don't forget your lunch box,id,kate-lunchbox-hlevel,kate-lunchbox-hfall,kate,lunchbox,hfall,HLEVEL,response=hlevel,response=4,
A1UCX2JQRCSMFY,age=3,gend=2,eth=3,Connecticut,None,Remember to feed the cats,id,alex-cats-hlevel,alex-cats-lfall,alex,cats,lfall,LFALL,response=lfall,response=3,
A1UCX2JQRCSMFY,age=3,gend=2,eth=3,Connecticut,None,(Sigh) ok go out and play,Oh please don't have broken another glass,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A1UCX2JQRCSMFY,age=3,gend=2,eth=3,Connecticut,None,Do you have questions about your test results.,Yes I leave for Cancun in a week.,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
APPSSLLP56DKF,age=1,gend=2,eth=4,Texas,none,Remember to feed the cats,id,alex-cats-hlevel,alex-cats-lfall,alex,cats,lfall,HLEVEL,response=lfall,response=4,none
APPSSLLP56DKF,age=1,gend=2,eth=4,Texas,none,Dont forget your lunch box,id,kate-lunchbox-hlevel,kate-lunchbox-hfall,kate,lunchbox,hfall,LFALL,response=hlevel,response=5,none
APPSSLLP56DKF,age=1,gend=2,eth=4,Texas,none,Yes i leaving for vancouver in a week,Do you have questions about your tax result?,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=2,none
APPSSLLP56DKF,age=1,gend=2,eth=4,Texas,none,enjoy your dinner,id,bonnie-dinner-hlevel,bonnie-dinner-lfall,bonnie,dinner,lfall,HLEVEL,response=hlevel,response=5,none
APPSSLLP56DKF,age=1,gend=2,eth=4,Texas,none,Have fun at the party.,id,kate-party-hlevel,kate-party-lfall,kate,party,lfall,HLEVEL,response=hlevel,response=5,none
APPSSLLP56DKF,age=1,gend=2,eth=4,Texas,none,Get well soon,id,alex-well-hlevel,alex-well-lfall,alex,well,lfall,LFALL,response=hlevel,response=5,
APPSSLLP56DKF,age=1,gend=2,eth=4,Texas,none,Take this pill from me,id,alex-pills-hlevel,alex-pills-lfall,alex,pills,lfall,LFALL,response=lfall,response=3,
APPSSLLP56DKF,age=1,gend=2,eth=4,Texas,none,oh please dont have broken an another class,Ok go out and play,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=2,
A34930YXVQ8SUT,age=2,gend=2,eth=3,Florida,No,do you have questions about your test results,yes I leave for Cancun in a week,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
A34930YXVQ8SUT,age=2,gend=2,eth=3,Florida,No,get well soon,id,kate-well-hlevel,kate-well-lfall,kate,well,lfall,LFALL,response=lfall,response=3,
